cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2920205,Malhada,2353,0.1528120535134433,2659,0.17268476425509807,2053,0.13332900376672296,1096.74
2920304,Malhada de Pedras,1030,0.11880046136101499,1167,0.13460207612456748,1610,0.18569780853517878,1764.36
2920403,Manoel Vitorino,1768,0.12756132756132757,2145,0.15476190476190477,2638,0.19033189033189032,2254.94
2920452,Mansidão,1852,0.13305553559882174,2152,0.15460880810403047,1913,0.13743803434154753,1188.03
2920502,Maracás,3592,0.13005068790731353,3960,0.14337436640115858,4558,0.16502534395365678,1472.73
2920601,Maragogipe,4187,0.11676287682311275,5475,0.15268133522964947,5408,0.1508129061044647,1119.26
2920700,Maraú,4180,0.1704244302197578,3722,0.15175113140620541,2544,0.10372242834427366,1744.16
2920809,Marcionílio Souza,1208,0.1303550232006043,1562,0.16855508794647675,1509,0.16283586921333765,1233.5
2920908,Mascote,1764,0.13024217365623153,2228,0.16450088600118135,2400,0.1772002362669817,1239.15
2921005,Mata de São João,5936,0.13945402433867407,6570,0.15434854108913218,5444,0.1278955034534605,1572.06
2921054,Matina,1331,0.12884801548886737,1708,0.16534365924491773,1625,0.15730880929332042,1226.13
2921104,Medeiros Neto,2899,0.1306208885284311,3204,0.14436334144363341,4140,0.18653690186536903,1603.95
2921203,Miguel Calmon,3214,0.13032723733830745,3714,0.15060216536231297,4532,0.18377194760958598,1329
2921302,Milagres,1478,0.1335019420106585,1698,0.15337367898112186,1787,0.16141269984644566,1206.64
2921401,Mirangaba,2131,0.13543917630608873,2493,0.15844667598830559,2562,0.16283208338629718,1021.82
2921450,Mirante,1210,0.1187788357710808,1508,0.14803180524197507,1888,0.18533424953371944,1131.32
2921500,Monte Santo,6097,0.12760569275847636,7615,0.15937630807869402,8172,0.17103390539974886,1099.43
2921609,Morpará,1106,0.1383191595797899,1276,0.15957978989494748,1539,0.1924712356178089,1137.31
